distribution,sample_size,contamination_rate,outlier_scale_mad,contamination_type,true_mean,scenario_mode,estimator,mse,mse_q95,mse_max,bias,abs_bias,variance,mad,iqr,winner_k,winner_estimator_str,winner_robust_q95_mse,winner_robust_mean_mse,winner_robust_max_mse
normal,300,0,1.5,upper_tail,3,full,robust,1.0854112078752087,1.8532352155723297,1.8532352155723297,-1.0229128246189787,1.0229128246189787,0.043400623450256824,0.17084971376974734,0.31845876887671,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,mean,0.015666183813732335,0.038774814618820264,0.038774814618820264,0.018953350749871145,0.018953350749871145,0.01700772701009411,0.06517741058003579,0.15033164495213036,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,median,0.08452648663180325,0.26937520183173963,0.26937520183173963,0.17424460240914197,0.17424460240914197,0.06018367240342592,0.16874195203481213,0.3549051685152014,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,trimmed20,0.025305009359921856,0.07212478011793537,0.07212478011793537,0.07206317183251931,0.07206317183251931,0.022346565139287396,0.09428137269879366,0.16375497494805913,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,harmonic,3.266525412479536,5.365074291612426,5.365074291612426,-1.7850871861819082,1.7850871861819082,0.08887683356521503,0.24636422231895372,0.3747322617387512,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,geometric,0.08694825194137604,0.23397599829659282,0.23397599829659282,-0.26074190380771345,0.26074190380771345,0.021068790600116696,0.13375320570658022,0.23808412131972778,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,mode_hsm,3.2046639673938393,6.606035001761198,6.606035001761198,0.06641574257237304,0.06641574257237304,3.5558365739248883,0.9242166055923757,3.416539057427408,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,mode_parzen,2.6627485273646068,3.8986943922557646,3.8986943922557646,0.8788876543139019,0.8788876543139019,2.1003389093991265,0.1807623208387037,0.3674106494281322,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,trimean,0.03592511827197558,0.09894068264333569,0.09894068264333569,0.10493886300805855,0.10493886300805855,0.027681059225057217,0.09430851808974783,0.17451656144956518,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0,1.5,upper_tail,3,full,huber,0.021443771844559725,0.06584263358806172,0.06584263358806172,0.05129578593972761,0.05129578593972761,0.020902793543761497,0.09350098965714415,0.16353788832713168,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
