family,stage,output_csv,n_candidates,n_scenarios,seed,timestamp
normal,HPF1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HPF1.csv,1,8,200391928,2026-01-30 11:18:19.00332
normal,HPF1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HPF1.csv,1,8,200391928,2026-01-30 11:18:19.020164
normal,HPF1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HPF1.csv,NA,8,200391928,2026-01-30 11:18:19.200063
normal,HPF1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HPF1.csv,NA,8,200391928,2026-01-30 11:18:19.201168
normal,HPF2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HPF2.csv,1,231,1049015111,2026-01-30 11:19:15.916487
normal,HPF2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HPF2.csv,1,231,1049015111,2026-01-30 11:19:15.917337
normal,HPF2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HPF2.csv,NA,231,1049015111,2026-01-30 11:19:16.030163
normal,HPF2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HPF2.csv,NA,231,1049015111,2026-01-30 11:19:16.031006
normal,HALVING_s1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HALVING_s1.csv,1,144,1268475818,2026-01-30 11:29:38.362625
normal,HALVING_s1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HALVING_s1.csv,1,144,1268475818,2026-01-30 11:29:38.363976
normal,HALVING_s1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HALVING_s1.csv,NA,144,1268475818,2026-01-30 11:29:38.443351
normal,HALVING_s1,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HALVING_s1.csv,NA,144,1268475818,2026-01-30 11:29:38.444683
normal,HALVING_s2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HALVING_s2.csv,1,576,1268475819,2026-01-30 11:44:53.49038
normal,HALVING_s2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HALVING_s2.csv,1,576,1268475819,2026-01-30 11:44:53.491158
normal,HALVING_s2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/scenarios_used_normal_HALVING_s2.csv,NA,576,1268475819,2026-01-30 11:44:53.695428
normal,HALVING_s2,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/difficulty_normal_HALVING_s2.csv,NA,576,1268475819,2026-01-30 11:44:53.696299
normal,SENS,C:/Users/AlvaroRivera-Eraso/Documents/simulating distributions and estimators/LocationEstimators11_modular_v1/LAst verssion commented/Estimator_Results/GA_UNIFIED_20260130_111817/normal/sensitivity_normal.csv,NA,NA,101,2026-01-30 12:16:40.228259
