contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0,1.5,upper_tail,SC00001
0.01,1.5,upper_tail,SC00002
0.02,1.5,upper_tail,SC00003
0.05,1.5,upper_tail,SC00004
0.1,1.5,upper_tail,SC00005
0.15,1.5,upper_tail,SC00006
0.2,1.5,upper_tail,SC00007
0.3,1.5,upper_tail,SC00008
0,3,upper_tail,SC00009
0.01,3,upper_tail,SC00010
0.02,3,upper_tail,SC00011
0.05,3,upper_tail,SC00012
0.1,3,upper_tail,SC00013
0.15,3,upper_tail,SC00014
0.2,3,upper_tail,SC00015
0.3,3,upper_tail,SC00016
0,4.5,upper_tail,SC00017
0.01,4.5,upper_tail,SC00018
0.02,4.5,upper_tail,SC00019
0.05,4.5,upper_tail,SC00020
0.1,4.5,upper_tail,SC00021
0.15,4.5,upper_tail,SC00022
0.2,4.5,upper_tail,SC00023
0.3,4.5,upper_tail,SC00024
0,6,upper_tail,SC00025
0.01,6,upper_tail,SC00026
0.02,6,upper_tail,SC00027
0.05,6,upper_tail,SC00028
0.1,6,upper_tail,SC00029
0.15,6,upper_tail,SC00030
0.2,6,upper_tail,SC00031
0.3,6,upper_tail,SC00032
0,9,upper_tail,SC00033
0.01,9,upper_tail,SC00034
0.02,9,upper_tail,SC00035
0.05,9,upper_tail,SC00036
0.1,9,upper_tail,SC00037
0.15,9,upper_tail,SC00038
0.2,9,upper_tail,SC00039
0.3,9,upper_tail,SC00040
0,12,upper_tail,SC00041
0.01,12,upper_tail,SC00042
0.02,12,upper_tail,SC00043
0.05,12,upper_tail,SC00044
0.1,12,upper_tail,SC00045
0.15,12,upper_tail,SC00046
0.2,12,upper_tail,SC00047
0.3,12,upper_tail,SC00048
0,15,upper_tail,SC00049
0.01,15,upper_tail,SC00050
0.02,15,upper_tail,SC00051
0.05,15,upper_tail,SC00052
0.1,15,upper_tail,SC00053
0.15,15,upper_tail,SC00054
0.2,15,upper_tail,SC00055
0.3,15,upper_tail,SC00056
0,20,upper_tail,SC00057
0.01,20,upper_tail,SC00058
0.02,20,upper_tail,SC00059
0.05,20,upper_tail,SC00060
0.1,20,upper_tail,SC00061
0.15,20,upper_tail,SC00062
0.2,20,upper_tail,SC00063
0.3,20,upper_tail,SC00064
0,30,upper_tail,SC00065
0.01,30,upper_tail,SC00066
0.02,30,upper_tail,SC00067
0.05,30,upper_tail,SC00068
0.1,30,upper_tail,SC00069
0.15,30,upper_tail,SC00070
0.2,30,upper_tail,SC00071
0.3,30,upper_tail,SC00072
0,1.5,lower_tail,SC00073
0.01,1.5,lower_tail,SC00074
0.02,1.5,lower_tail,SC00075
0.05,1.5,lower_tail,SC00076
0.1,1.5,lower_tail,SC00077
0.15,1.5,lower_tail,SC00078
0.2,1.5,lower_tail,SC00079
0.3,1.5,lower_tail,SC00080
0,3,lower_tail,SC00081
0.01,3,lower_tail,SC00082
0.02,3,lower_tail,SC00083
0.05,3,lower_tail,SC00084
0.1,3,lower_tail,SC00085
0.15,3,lower_tail,SC00086
0.2,3,lower_tail,SC00087
0.3,3,lower_tail,SC00088
0,4.5,lower_tail,SC00089
0.01,4.5,lower_tail,SC00090
0.02,4.5,lower_tail,SC00091
0.05,4.5,lower_tail,SC00092
0.1,4.5,lower_tail,SC00093
0.15,4.5,lower_tail,SC00094
0.2,4.5,lower_tail,SC00095
0.3,4.5,lower_tail,SC00096
0,6,lower_tail,SC00097
0.01,6,lower_tail,SC00098
0.02,6,lower_tail,SC00099
0.05,6,lower_tail,SC00100
0.1,6,lower_tail,SC00101
0.15,6,lower_tail,SC00102
0.2,6,lower_tail,SC00103
0.3,6,lower_tail,SC00104
0,9,lower_tail,SC00105
0.01,9,lower_tail,SC00106
0.02,9,lower_tail,SC00107
0.05,9,lower_tail,SC00108
0.1,9,lower_tail,SC00109
0.15,9,lower_tail,SC00110
0.2,9,lower_tail,SC00111
0.3,9,lower_tail,SC00112
0,12,lower_tail,SC00113
0.01,12,lower_tail,SC00114
0.02,12,lower_tail,SC00115
0.05,12,lower_tail,SC00116
0.1,12,lower_tail,SC00117
0.15,12,lower_tail,SC00118
0.2,12,lower_tail,SC00119
0.3,12,lower_tail,SC00120
0,15,lower_tail,SC00121
0.01,15,lower_tail,SC00122
0.02,15,lower_tail,SC00123
0.05,15,lower_tail,SC00124
0.1,15,lower_tail,SC00125
0.15,15,lower_tail,SC00126
0.2,15,lower_tail,SC00127
0.3,15,lower_tail,SC00128
0,20,lower_tail,SC00129
0.01,20,lower_tail,SC00130
0.02,20,lower_tail,SC00131
0.05,20,lower_tail,SC00132
0.1,20,lower_tail,SC00133
0.15,20,lower_tail,SC00134
0.2,20,lower_tail,SC00135
0.3,20,lower_tail,SC00136
