contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0,3,upper_tail,SC00001
0.02,3,upper_tail,SC00002
0.2,3,upper_tail,SC00003
0,9,upper_tail,SC00004
0.02,9,upper_tail,SC00005
0.2,9,upper_tail,SC00006
0,20,upper_tail,SC00007
0.02,20,upper_tail,SC00008
0.2,20,upper_tail,SC00009
0,3,symmetric_t,SC00010
0.02,3,symmetric_t,SC00011
0.2,3,symmetric_t,SC00012
0,9,symmetric_t,SC00013
0.02,9,symmetric_t,SC00014
0.2,9,symmetric_t,SC00015
0,20,symmetric_t,SC00016
0.02,20,symmetric_t,SC00017
0.2,20,symmetric_t,SC00018
0,3,clustered_symmetric,SC00019
0.02,3,clustered_symmetric,SC00020
0.2,3,clustered_symmetric,SC00021
0,9,clustered_symmetric,SC00022
0.02,9,clustered_symmetric,SC00023
0.2,9,clustered_symmetric,SC00024
0,20,clustered_symmetric,SC00025
0.02,20,clustered_symmetric,SC00026
0.2,20,clustered_symmetric,SC00027
0,3,mixture_bimodal_near,SC00028
0.02,3,mixture_bimodal_near,SC00029
0.2,3,mixture_bimodal_near,SC00030
0,9,mixture_bimodal_near,SC00031
0.02,9,mixture_bimodal_near,SC00032
0.2,9,mixture_bimodal_near,SC00033
0,20,mixture_bimodal_near,SC00034
0.02,20,mixture_bimodal_near,SC00035
0.2,20,mixture_bimodal_near,SC00036
