contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.02,1.5,upper_tail,SC00003
0.3,1.5,upper_tail,SC00008
0.01,3,upper_tail,SC00010
0.1,3,upper_tail,SC00013
0.3,3,upper_tail,SC00016
0.01,4.5,upper_tail,SC00018
0.1,4.5,upper_tail,SC00021
0.01,6,upper_tail,SC00026
0.1,6,upper_tail,SC00029
0,9,upper_tail,SC00033
0.01,9,upper_tail,SC00034
0.15,9,upper_tail,SC00038
0.1,12,upper_tail,SC00045
0,15,upper_tail,SC00049
0.02,15,upper_tail,SC00051
0.3,15,upper_tail,SC00056
0.1,20,upper_tail,SC00061
0.1,30,upper_tail,SC00069
0.02,1.5,lower_tail,SC00075
0.05,1.5,lower_tail,SC00076
0.1,1.5,lower_tail,SC00077
0.2,1.5,lower_tail,SC00079
0.3,3,lower_tail,SC00088
0.01,4.5,lower_tail,SC00090
0,9,lower_tail,SC00105
0.15,9,lower_tail,SC00110
0,12,lower_tail,SC00113
0.02,12,lower_tail,SC00115
0.1,12,lower_tail,SC00117
0.3,12,lower_tail,SC00120
0.02,20,lower_tail,SC00131
0.15,20,lower_tail,SC00134
0.02,30,lower_tail,SC00139
0.05,30,lower_tail,SC00140
0.3,30,lower_tail,SC00144
0.01,1.5,symmetric_t,SC00146
0.05,1.5,symmetric_t,SC00148
0.3,1.5,symmetric_t,SC00152
0.05,3,symmetric_t,SC00156
0.2,4.5,symmetric_t,SC00167
0.3,6,symmetric_t,SC00176
0,9,symmetric_t,SC00177
0.02,9,symmetric_t,SC00179
0,12,symmetric_t,SC00185
0.1,12,symmetric_t,SC00189
0.3,12,symmetric_t,SC00192
0.02,15,symmetric_t,SC00195
0.2,15,symmetric_t,SC00199
0,20,symmetric_t,SC00201
0.02,20,symmetric_t,SC00203
0.15,20,symmetric_t,SC00206
0.15,30,symmetric_t,SC00214
0.2,30,symmetric_t,SC00215
0,1.5,point_mass,SC00217
0,4.5,point_mass,SC00233
0.15,4.5,point_mass,SC00238
0.3,4.5,point_mass,SC00240
0.3,6,point_mass,SC00248
0,9,point_mass,SC00249
0.05,9,point_mass,SC00252
0.1,9,point_mass,SC00253
0,12,point_mass,SC00257
0.01,12,point_mass,SC00258
0.1,12,point_mass,SC00261
0.2,12,point_mass,SC00263
0.3,15,point_mass,SC00272
0,20,point_mass,SC00273
0,30,point_mass,SC00281
0.1,30,point_mass,SC00285
0.1,1.5,clustered_upper,SC00293
0.2,1.5,clustered_upper,SC00295
0,3,clustered_upper,SC00297
0.05,4.5,clustered_upper,SC00308
0,6,clustered_upper,SC00313
0.01,6,clustered_upper,SC00314
0.05,9,clustered_upper,SC00324
0.2,9,clustered_upper,SC00327
0.3,9,clustered_upper,SC00328
0.02,12,clustered_upper,SC00331
0.1,12,clustered_upper,SC00333
0.3,15,clustered_upper,SC00344
0.1,20,clustered_upper,SC00349
0.15,20,clustered_upper,SC00350
0.2,20,clustered_upper,SC00351
0.01,30,clustered_upper,SC00354
0.02,30,clustered_upper,SC00355
0.05,30,clustered_upper,SC00356
0.01,1.5,clustered_symmetric,SC00362
0.1,1.5,clustered_symmetric,SC00365
0.2,1.5,clustered_symmetric,SC00367
0,3,clustered_symmetric,SC00369
0.05,4.5,clustered_symmetric,SC00380
0.3,4.5,clustered_symmetric,SC00384
0.15,6,clustered_symmetric,SC00390
0.2,6,clustered_symmetric,SC00391
0.3,6,clustered_symmetric,SC00392
0,9,clustered_symmetric,SC00393
0.01,9,clustered_symmetric,SC00394
0.05,9,clustered_symmetric,SC00396
0.01,12,clustered_symmetric,SC00402
0.15,12,clustered_symmetric,SC00406
0,15,clustered_symmetric,SC00409
0.02,15,clustered_symmetric,SC00411
0.2,15,clustered_symmetric,SC00415
0.1,20,clustered_symmetric,SC00421
0.05,30,clustered_symmetric,SC00428
0.1,30,clustered_symmetric,SC00429
0.02,1.5,mixture_bimodal_near,SC00435
0.2,1.5,mixture_bimodal_near,SC00439
0,3,mixture_bimodal_near,SC00441
0.02,3,mixture_bimodal_near,SC00443
0.15,3,mixture_bimodal_near,SC00446
0.05,4.5,mixture_bimodal_near,SC00452
0.15,4.5,mixture_bimodal_near,SC00454
0,6,mixture_bimodal_near,SC00457
0.02,9,mixture_bimodal_near,SC00467
0.05,9,mixture_bimodal_near,SC00468
0.2,9,mixture_bimodal_near,SC00471
0,12,mixture_bimodal_near,SC00473
0.3,12,mixture_bimodal_near,SC00480
0.3,15,mixture_bimodal_near,SC00488
0,20,mixture_bimodal_near,SC00489
0.01,20,mixture_bimodal_near,SC00490
0.1,20,mixture_bimodal_near,SC00493
0.15,20,mixture_bimodal_near,SC00494
0.3,20,mixture_bimodal_near,SC00496
0,1.5,mixture_bimodal_far,SC00505
0.05,3,mixture_bimodal_far,SC00516
0.2,3,mixture_bimodal_far,SC00519
0.01,4.5,mixture_bimodal_far,SC00522
0.15,4.5,mixture_bimodal_far,SC00526
0.3,4.5,mixture_bimodal_far,SC00528
0.1,6,mixture_bimodal_far,SC00533
0.2,6,mixture_bimodal_far,SC00535
0.02,12,mixture_bimodal_far,SC00547
0.05,12,mixture_bimodal_far,SC00548
0.15,12,mixture_bimodal_far,SC00550
0.2,12,mixture_bimodal_far,SC00551
0.01,15,mixture_bimodal_far,SC00554
0.1,15,mixture_bimodal_far,SC00557
0.15,15,mixture_bimodal_far,SC00558
0.3,15,mixture_bimodal_far,SC00560
0.1,20,mixture_bimodal_far,SC00565
0.2,30,mixture_bimodal_far,SC00575
