contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.05,1.5,upper_tail,SC00004
0.2,1.5,upper_tail,SC00007
0,3,upper_tail,SC00009
0.3,3,upper_tail,SC00016
0,4.5,upper_tail,SC00017
0.02,4.5,upper_tail,SC00019
0.05,4.5,upper_tail,SC00020
0.1,4.5,upper_tail,SC00021
0.15,4.5,upper_tail,SC00022
0,6,upper_tail,SC00025
0.02,6,upper_tail,SC00027
0.05,6,upper_tail,SC00028
0.15,6,upper_tail,SC00030
0.2,6,upper_tail,SC00031
0.3,6,upper_tail,SC00032
0.1,9,upper_tail,SC00037
0,12,upper_tail,SC00041
0.01,12,upper_tail,SC00042
0.3,12,upper_tail,SC00048
0.02,15,upper_tail,SC00051
0,20,upper_tail,SC00057
0.05,20,upper_tail,SC00060
0.15,20,upper_tail,SC00062
0.3,20,upper_tail,SC00064
0,30,upper_tail,SC00065
0.15,30,upper_tail,SC00070
0,1.5,lower_tail,SC00073
0.05,1.5,lower_tail,SC00076
0.02,3,lower_tail,SC00083
0.1,3,lower_tail,SC00085
0.3,3,lower_tail,SC00088
0.01,4.5,lower_tail,SC00090
0.02,4.5,lower_tail,SC00091
0.1,4.5,lower_tail,SC00093
0.15,4.5,lower_tail,SC00094
0.2,4.5,lower_tail,SC00095
0.05,6,lower_tail,SC00100
0.1,6,lower_tail,SC00101
0.2,6,lower_tail,SC00103
0,9,lower_tail,SC00105
0.05,9,lower_tail,SC00108
0.2,9,lower_tail,SC00111
0,12,lower_tail,SC00113
0.02,12,lower_tail,SC00115
0,15,lower_tail,SC00121
0.05,15,lower_tail,SC00124
0.15,15,lower_tail,SC00126
0,20,lower_tail,SC00129
0.05,20,lower_tail,SC00132
0.1,20,lower_tail,SC00133
0.2,20,lower_tail,SC00135
0.3,20,lower_tail,SC00136
0,30,lower_tail,SC00137
0.02,30,lower_tail,SC00139
0.2,30,lower_tail,SC00143
0,1.5,symmetric_t,SC00145
0.02,1.5,symmetric_t,SC00147
0.15,1.5,symmetric_t,SC00150
0.1,3,symmetric_t,SC00157
0.2,3,symmetric_t,SC00159
0,4.5,symmetric_t,SC00161
0.01,4.5,symmetric_t,SC00162
0.05,4.5,symmetric_t,SC00164
0.15,4.5,symmetric_t,SC00166
0.2,4.5,symmetric_t,SC00167
0.3,4.5,symmetric_t,SC00168
0,6,symmetric_t,SC00169
0.1,6,symmetric_t,SC00173
0.15,6,symmetric_t,SC00174
0,9,symmetric_t,SC00177
0.02,9,symmetric_t,SC00179
0.05,9,symmetric_t,SC00180
0.3,9,symmetric_t,SC00184
0,12,symmetric_t,SC00185
0.1,12,symmetric_t,SC00189
0.2,12,symmetric_t,SC00191
0,15,symmetric_t,SC00193
0.05,15,symmetric_t,SC00196
0.2,15,symmetric_t,SC00199
0.3,15,symmetric_t,SC00200
0.01,20,symmetric_t,SC00202
0.1,20,symmetric_t,SC00205
0.02,30,symmetric_t,SC00211
0.05,30,symmetric_t,SC00212
0.15,30,symmetric_t,SC00214
0.2,30,symmetric_t,SC00215
0.02,1.5,point_mass,SC00219
0.2,1.5,point_mass,SC00223
0.3,1.5,point_mass,SC00224
0.02,3,point_mass,SC00227
0.1,3,point_mass,SC00229
0,4.5,point_mass,SC00233
0.01,4.5,point_mass,SC00234
0.05,4.5,point_mass,SC00236
0.2,4.5,point_mass,SC00239
0.1,6,point_mass,SC00245
0.15,6,point_mass,SC00246
0.3,6,point_mass,SC00248
0.01,9,point_mass,SC00250
0.02,9,point_mass,SC00251
0.1,9,point_mass,SC00253
0.2,9,point_mass,SC00255
0.02,12,point_mass,SC00259
0.05,12,point_mass,SC00260
0.2,12,point_mass,SC00263
0,15,point_mass,SC00265
0.02,15,point_mass,SC00267
0.2,15,point_mass,SC00271
0.02,20,point_mass,SC00275
0.05,20,point_mass,SC00276
0.1,20,point_mass,SC00277
0.3,20,point_mass,SC00280
0.1,30,point_mass,SC00285
0.3,30,point_mass,SC00288
0.05,1.5,clustered_upper,SC00292
0.3,1.5,clustered_upper,SC00296
0,3,clustered_upper,SC00297
0.01,3,clustered_upper,SC00298
0.02,3,clustered_upper,SC00299
0.1,3,clustered_upper,SC00301
0.15,3,clustered_upper,SC00302
0.2,3,clustered_upper,SC00303
0.01,4.5,clustered_upper,SC00306
0.1,4.5,clustered_upper,SC00309
0.01,6,clustered_upper,SC00314
0.05,6,clustered_upper,SC00316
0.3,6,clustered_upper,SC00320
0.1,9,clustered_upper,SC00325
0.3,9,clustered_upper,SC00328
0,12,clustered_upper,SC00329
0.01,12,clustered_upper,SC00330
0.02,12,clustered_upper,SC00331
0.1,12,clustered_upper,SC00333
0.15,12,clustered_upper,SC00334
0.3,12,clustered_upper,SC00336
0.01,15,clustered_upper,SC00338
0.02,15,clustered_upper,SC00339
0.1,15,clustered_upper,SC00341
0,20,clustered_upper,SC00345
0.01,20,clustered_upper,SC00346
0.1,20,clustered_upper,SC00349
0.2,20,clustered_upper,SC00351
0.3,20,clustered_upper,SC00352
0.1,30,clustered_upper,SC00357
0.2,30,clustered_upper,SC00359
0,3,clustered_symmetric,SC00369
0.01,3,clustered_symmetric,SC00370
0.05,3,clustered_symmetric,SC00372
0.1,3,clustered_symmetric,SC00373
0.2,3,clustered_symmetric,SC00375
0.3,3,clustered_symmetric,SC00376
